RELEASE ; FILENAME ; BUGGYNESS 
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;No
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BKException.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/DigestManager.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/SyncCounter.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;YES
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;YES
